Dealer Code,VIN,Inventory Status,Description,MODEL
ID019,KM8RMESA1TU072039,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ID019,KM8RMESA2TU072793,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ID019,KM8RMESA3TU071779,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ID019,KM8RMESA4TU077736,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ID019,KM8RMESA6TU071422,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ID019,KM8RMESA7TU064530,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ID019,KM8RMESA9TU068482,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
ID019,KM8RMES20TU080576,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ID019,KM8RMES24TU094173,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ID019,KM8RMES26TU092358,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
ID019,KM8RMES27TU089632,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RKESA2TU059077,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RKESA8TU053428,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RKESA9TU053454,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RKES24TU029538,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMESA0TU068712,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RMESA4TU064310,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RMESA4TU064324,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RMESA4TU077042,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RMESA4TU077574,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RMESA5TU064283,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RMESA6TU079813,DS,DEALER STOCK (WHOLESALED)     ,PALISADE HYBRID
MT007,KM8RMES20TU088662,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
MT007,KM8RMES22TU068512,DS,DEALER STOCK (WHOLESALED)     ,PALISADE
